state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
2(1)a       3.730  0.495  0.116  0.499  0.559  0.334  0.202  0.045
1(1)a       3.733  0.000  0.845  0.700  0.052  0.181  0.000  0.017
3(1)a       4.512  0.001  0.828  0.696  0.073  0.188  0.000  0.018
4(1)a       4.611  0.012  0.072  0.087  0.677  0.778  0.149  0.034
5(1)a       5.310  0.019  0.244  0.447  0.576  0.407  0.065  0.030
6(1)a       5.709  0.000  0.078  0.017  0.544  0.650  0.298  0.253
7(1)a       5.797  0.310  0.655  0.587  0.207  0.276  0.026  0.025
8(1)a       6.049  0.019  0.091  0.230  0.553  0.576  0.252  0.091
9(1)a       6.389  0.008  0.090  0.112  0.550  0.520  0.275  0.283
10(1)a      6.509  0.000  0.081  0.064  0.565  0.709  0.268  0.142
12(1)a      6.903  0.052  0.103  0.115  0.582  0.750  0.218  0.038
11(1)a      6.928  0.317  0.085  0.252  0.660  0.583  0.130  0.040
13(1)a      6.967  0.289  0.065  0.154  0.723  0.716  0.116  0.033
15(1)a      7.332  0.001  0.086  0.294  0.572  0.433  0.251  0.182
14(1)a      7.352  0.000  0.023  0.068  0.889  0.794  0.008  0.059
