state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)a       3.579  0.496  0.876  2.090  1.468  2.107  0.658  0.092  0.250  0.046  0.490  0.121  3.440
2(1)a       3.736  0.000  0.897  1.059  1.243  1.337  0.255  0.732  0.013  0.209  0.044  0.001  2.131
3(1)a       4.538  0.001  0.901  1.081  1.251  1.373  0.271  0.710  0.020  0.209  0.060  0.002  2.105
4(1)a       4.590  0.011  0.898  2.079  1.927  1.504  0.380  0.002  0.619  0.080  0.110  0.190  2.579
5(1)a       5.224  0.026  0.883  1.859  1.544  1.996  0.517  0.150  0.333  0.073  0.339  0.105  2.856
6(1)a       5.723  0.000  0.919  2.215  2.184  1.889  0.448  0.004  0.548  0.089  0.025  0.334  2.577
7(1)a       5.757  0.289  0.888  1.231  1.345  1.662  0.330  0.588  0.083  0.205  0.094  0.030  2.348
8(1)a       5.984  0.025  0.896  2.179  1.860  2.078  0.515  0.050  0.435  0.054  0.193  0.269  2.662
9(1)a       6.370  0.006  0.915  2.203  2.186  2.318  0.516  0.020  0.464  0.082  0.121  0.313  2.936
10(1)a      6.529  0.000  0.914  2.189  2.028  1.847  0.456  0.012  0.533  0.084  0.085  0.287  2.908
11(1)a      6.746  0.054  0.853  2.099  1.536  2.125  0.652  0.050  0.299  0.075  0.471  0.106  3.667
12(1)a      6.852  0.004  0.912  2.155  1.931  1.719  0.430  0.014  0.556  0.092  0.096  0.243  2.934
13(1)a      6.984  0.604  0.917  2.022  2.004  1.125  0.090  0.001  0.908  0.022  0.020  0.048  2.199
14(1)a      7.231  0.018  0.910  2.157  1.741  2.435  0.625  0.062  0.313  0.053  0.382  0.190  3.433
15(1)a      7.352  0.000  0.919  2.002  1.920  1.339  0.216  0.016  0.768  0.024  0.122  0.070  2.568
