state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)a       3.546  0.497  0.876  2.088  1.465  2.106  0.659  0.093  0.248  0.047  0.492  0.120  3.442
2(1)a       3.737  0.000  0.897  1.059  1.244  1.339  0.256  0.731  0.013  0.210  0.044  0.001  2.134
3(1)a       4.544  0.001  0.901  1.081  1.252  1.374  0.271  0.709  0.020  0.210  0.060  0.002  2.107
4(1)a       4.585  0.011  0.898  2.078  1.923  1.508  0.383  0.002  0.616  0.081  0.114  0.189  2.584
5(1)a       5.204  0.027  0.882  1.871  1.547  1.984  0.522  0.142  0.336  0.071  0.344  0.107  2.865
7(1)a       5.723  0.000  0.919  2.209  2.168  1.876  0.446  0.005  0.549  0.091  0.028  0.328  2.582
6(1)a       5.748  0.285  0.888  1.219  1.341  1.643  0.326  0.596  0.078  0.208  0.090  0.029  2.340
8(1)a       5.970  0.027  0.896  2.179  1.863  2.076  0.514  0.050  0.436  0.055  0.190  0.269  2.660
9(1)a       6.366  0.006  0.914  2.203  2.184  2.336  0.521  0.021  0.459  0.082  0.126  0.314  2.946
10(1)a      6.531  0.000  0.914  2.186  2.015  1.850  0.458  0.013  0.530  0.085  0.091  0.282  2.925
11(1)a      6.716  0.051  0.852  2.101  1.532  2.125  0.655  0.050  0.295  0.075  0.475  0.106  3.673
12(1)a      6.847  0.003  0.912  2.153  1.925  1.732  0.435  0.015  0.550  0.092  0.101  0.241  2.949
13(1)a      6.987  0.608  0.917  2.022  2.004  1.122  0.088  0.001  0.911  0.021  0.020  0.047  2.195
14(1)a      7.209  0.017  0.910  2.156  1.738  2.434  0.626  0.063  0.311  0.053  0.384  0.190  3.442
15(1)a      7.347  0.000  0.919  2.014  1.895  1.430  0.253  0.021  0.726  0.027  0.148  0.079  2.671
