state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)a       3.738  0.000  0.897  1.058  1.233  1.325  0.248  0.740  0.013  0.202  0.044  0.001  2.099
2(1)a       4.017  0.491  0.881  2.114  1.519  2.125  0.641  0.077  0.282  0.044  0.458  0.138  3.384
3(1)a       4.463  0.001  0.901  1.082  1.243  1.365  0.266  0.715  0.020  0.204  0.060  0.002  2.082
4(1)a       4.649  0.013  0.898  2.095  1.961  1.461  0.347  0.001  0.652  0.076  0.074  0.197  2.525
5(1)a       5.464  0.006  0.887  1.654  1.499  2.149  0.441  0.287  0.272  0.116  0.249  0.077  2.692
6(1)a       5.608  0.000  0.921  2.278  2.384  2.059  0.479  0.001  0.520  0.071  0.008  0.400  2.557
7(1)a       5.886  0.348  0.889  1.439  1.429  2.021  0.381  0.444  0.176  0.162  0.160  0.059  2.495
8(1)a       6.178  0.008  0.897  2.178  1.814  2.092  0.527  0.052  0.421  0.045  0.229  0.253  2.712
10(1)a      6.421  0.000  0.916  2.230  2.176  1.877  0.449  0.004  0.547  0.075  0.035  0.338  2.768
9(1)a       6.423  0.009  0.915  2.198  2.159  2.076  0.460  0.013  0.528  0.080  0.086  0.294  2.829
11(1)a      6.612  0.000  0.835  1.084  1.990  1.122  0.902  0.019  0.079  0.898  0.002  0.002  3.596
13(1)a      6.894  0.004  0.914  2.176  1.997  1.640  0.399  0.006  0.595  0.085  0.048  0.265  2.777
12(1)a      6.935  0.635  0.916  2.008  2.012  1.134  0.099  0.002  0.899  0.033  0.015  0.051  2.203
14(1)a      7.118  0.029  0.857  2.097  1.600  2.141  0.621  0.043  0.336  0.081  0.419  0.120  3.588
15(1)a      7.313  0.001  0.920  1.983  2.073  1.220  0.174  0.003  0.822  0.020  0.039  0.115  2.403
