state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
2(1)a       3.652  0.496  0.877  2.094  1.475  2.109  0.656  0.089  0.255  0.046  0.486  0.124  3.433
1(1)a       3.734  0.000  0.897  1.059  1.241  1.334  0.253  0.734  0.013  0.208  0.044  0.001  2.124
3(1)a       4.525  0.001  0.901  1.081  1.249  1.371  0.269  0.711  0.019  0.208  0.060  0.002  2.099
4(1)a       4.601  0.011  0.898  2.082  1.934  1.495  0.374  0.001  0.625  0.080  0.103  0.191  2.569
5(1)a       5.266  0.022  0.883  1.831  1.537  2.024  0.506  0.169  0.324  0.078  0.328  0.100  2.834
6(1)a       5.720  0.000  0.919  2.227  2.219  1.919  0.452  0.003  0.545  0.086  0.020  0.346  2.566
7(1)a       5.775  0.299  0.888  1.259  1.354  1.711  0.337  0.569  0.094  0.199  0.104  0.034  2.368
8(1)a       6.015  0.022  0.896  2.180  1.853  2.082  0.517  0.051  0.432  0.052  0.199  0.267  2.669
9(1)a       6.379  0.007  0.915  2.203  2.189  2.279  0.506  0.018  0.476  0.082  0.113  0.311  2.917
10(1)a      6.522  0.000  0.914  2.197  2.056  1.845  0.452  0.010  0.538  0.083  0.073  0.297  2.876
11(1)a      6.813  0.074  0.853  2.094  1.552  2.118  0.639  0.048  0.313  0.076  0.457  0.106  3.640
12(1)a      6.868  0.014  0.912  2.155  1.941  1.689  0.418  0.012  0.570  0.090  0.087  0.241  2.897
14(1)a      6.885  0.000  0.834  1.089  1.987  1.128  0.897  0.020  0.083  0.892  0.002  0.003  3.586
13(1)a      6.977  0.576  0.917  2.028  2.001  1.147  0.104  0.002  0.894  0.025  0.024  0.055  2.230
15(1)a      7.354  0.000  0.920  1.988  1.962  1.234  0.169  0.010  0.821  0.020  0.086  0.064  2.431
