state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)a       3.736  0.000  0.845  0.703  0.052  0.179  0.000  0.016
2(1)a       3.967  0.492  0.109  0.477  0.565  0.357  0.207  0.047
3(1)a       4.472  0.001  0.828  0.698  0.073  0.186  0.000  0.017
4(1)a       4.643  0.013  0.070  0.071  0.676  0.795  0.153  0.033
5(1)a       5.438  0.008  0.336  0.470  0.498  0.386  0.052  0.031
6(1)a       5.633  0.000  0.068  0.009  0.533  0.568  0.319  0.343
7(1)a       5.870  0.342  0.560  0.547  0.292  0.314  0.037  0.028
8(1)a       6.155  0.010  0.088  0.249  0.561  0.562  0.248  0.086
9(1)a       6.418  0.009  0.086  0.093  0.562  0.578  0.267  0.244
10(1)a      6.441  0.000  0.074  0.040  0.562  0.689  0.280  0.187
11(1)a      6.650  0.000  0.765  0.017  0.069  0.809  0.001  0.009
13(1)a      6.892  0.005  0.085  0.053  0.586  0.816  0.243  0.045
12(1)a      6.940  0.636  0.030  0.016  0.847  0.874  0.038  0.026
14(1)a      7.077  0.027  0.106  0.403  0.560  0.402  0.191  0.052
15(1)a      7.325  0.000  0.042  0.041  0.870  0.783  0.005  0.094
