state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)a       3.520  0.497  0.123  0.514  0.553  0.318  0.199  0.043
2(1)a       3.738  0.000  0.844  0.695  0.052  0.184  0.000  0.018
3(1)a       4.549  0.001  0.828  0.692  0.073  0.190  0.000  0.019
4(1)a       4.581  0.010  0.074  0.106  0.681  0.757  0.142  0.035
5(1)a       5.189  0.029  0.182  0.426  0.624  0.427  0.076  0.029
7(1)a       5.722  0.000  0.089  0.032  0.552  0.712  0.278  0.175
6(1)a       5.742  0.282  0.721  0.611  0.149  0.253  0.019  0.024
8(1)a       5.959  0.028  0.094  0.214  0.548  0.589  0.254  0.093
9(1)a       6.363  0.006  0.094  0.138  0.541  0.474  0.280  0.303
10(1)a      6.531  0.000  0.090  0.100  0.566  0.710  0.257  0.104
11(1)a      6.693  0.049  0.107  0.450  0.553  0.354  0.193  0.048
12(1)a      6.843  0.002  0.099  0.110  0.576  0.763  0.237  0.038
14(1)a      6.979  0.000  0.760  0.019  0.072  0.807  0.001  0.008
13(1)a      6.990  0.610  0.020  0.020  0.857  0.874  0.039  0.023
15(1)a      7.341  0.000  0.050  0.180  0.793  0.674  0.074  0.065
