state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)a       3.520  0.497  0.875  2.086  1.463  2.106  0.659  0.094  0.247  0.047  0.493  0.119  3.445
2(1)a       3.738  0.000  0.897  1.059  1.245  1.340  0.256  0.731  0.013  0.211  0.044  0.001  2.137
3(1)a       4.549  0.001  0.901  1.081  1.252  1.375  0.272  0.709  0.020  0.210  0.060  0.002  2.110
4(1)a       4.581  0.010  0.898  2.076  1.920  1.511  0.385  0.002  0.613  0.081  0.117  0.188  2.588
5(1)a       5.189  0.029  0.882  1.880  1.550  1.975  0.525  0.136  0.339  0.070  0.347  0.108  2.871
7(1)a       5.722  0.000  0.919  2.205  2.156  1.866  0.445  0.005  0.550  0.092  0.030  0.323  2.587
6(1)a       5.742  0.282  0.888  1.210  1.338  1.627  0.324  0.602  0.074  0.210  0.087  0.027  2.333
8(1)a       5.959  0.028  0.896  2.178  1.866  2.075  0.513  0.050  0.437  0.055  0.188  0.270  2.658
9(1)a       6.363  0.006  0.914  2.203  2.181  2.349  0.524  0.021  0.454  0.082  0.129  0.314  2.953
10(1)a      6.531  0.000  0.914  2.183  2.004  1.852  0.460  0.013  0.527  0.085  0.096  0.278  2.938
11(1)a      6.693  0.049  0.852  2.101  1.528  2.125  0.657  0.050  0.292  0.075  0.478  0.105  3.677
12(1)a      6.843  0.002  0.912  2.152  1.921  1.743  0.438  0.015  0.546  0.093  0.105  0.240  2.962
14(1)a      6.979  0.000  0.834  1.090  1.986  1.129  0.896  0.021  0.083  0.891  0.002  0.002  3.584
13(1)a      6.990  0.610  0.917  2.021  2.004  1.120  0.087  0.001  0.912  0.020  0.020  0.046  2.193
15(1)a      7.341  0.000  0.918  2.026  1.875  1.520  0.288  0.025  0.686  0.030  0.170  0.088  2.762
