state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  RMSeh
-------------------------------------------------------------------------
1(1)a       3.579  0.496  0.876  1.779  2.107  0.658  2.097 -0.622  3.440
2(1)a       3.736  0.000  0.897  1.151  1.337  0.255  1.300  0.184  2.131
3(1)a       4.538  0.001  0.901  1.166  1.373  0.271  1.338  0.169  2.105
4(1)a       4.590  0.011  0.898  2.003  1.504  0.380  1.576 -0.153  2.579
5(1)a       5.224  0.026  0.883  1.702  1.996  0.517  1.947 -0.315  2.856
6(1)a       5.723  0.000  0.919  2.200  1.889  0.448  1.825 -0.031  2.577
7(1)a       5.757  0.289  0.888  1.288  1.662  0.330  1.516  0.114  2.348
8(1)a       5.984  0.025  0.896  2.020  2.078  0.515  2.026 -0.319  2.662
9(1)a       6.370  0.006  0.915  2.195  2.318  0.516  2.266 -0.017  2.936
10(1)a      6.529  0.000  0.914  2.109  1.847  0.456  1.794 -0.161  2.908
11(1)a      6.746  0.054  0.853  1.818  2.125  0.652  2.112 -0.563  3.667
12(1)a      6.852  0.004  0.912  2.043  1.719  0.430  1.635 -0.224  2.934
13(1)a      6.984  0.604  0.917  2.013  1.125  0.090  1.096 -0.018  2.199
14(1)a      7.231  0.018  0.910  1.949  2.435  0.625  2.350 -0.417  3.433
15(1)a      7.352  0.000  0.919  1.961  1.339  0.216  1.252 -0.082  2.568
