state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)a       3.546  0.497  0.122  0.512  0.554  0.320  0.199  0.044
2(1)a       3.737  0.000  0.844  0.695  0.052  0.184  0.000  0.017
3(1)a       4.544  0.001  0.828  0.693  0.073  0.190  0.000  0.018
4(1)a       4.585  0.011  0.074  0.103  0.681  0.760  0.143  0.034
5(1)a       5.204  0.027  0.188  0.429  0.620  0.424  0.075  0.029
7(1)a       5.723  0.000  0.087  0.030  0.551  0.705  0.280  0.184
6(1)a       5.748  0.285  0.713  0.609  0.155  0.256  0.020  0.024
8(1)a       5.970  0.027  0.094  0.215  0.548  0.588  0.254  0.093
9(1)a       6.366  0.006  0.094  0.134  0.542  0.479  0.279  0.302
10(1)a      6.531  0.000  0.089  0.095  0.566  0.711  0.259  0.108
11(1)a      6.716  0.051  0.106  0.447  0.554  0.357  0.192  0.048
12(1)a      6.847  0.003  0.098  0.106  0.577  0.769  0.237  0.038
13(1)a      6.987  0.608  0.020  0.020  0.856  0.874  0.040  0.023
14(1)a      7.209  0.017  0.105  0.406  0.557  0.336  0.247  0.168
15(1)a      7.347  0.000  0.044  0.155  0.818  0.705  0.057  0.059
