state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)a       3.738  0.000  0.845  0.703  0.052  0.178  0.000  0.015
2(1)a       4.017  0.491  0.107  0.472  0.567  0.362  0.208  0.047
3(1)a       4.463  0.001  0.828  0.699  0.073  0.186  0.000  0.017
4(1)a       4.649  0.013  0.069  0.068  0.675  0.798  0.154  0.033
5(1)a       5.464  0.006  0.357  0.475  0.480  0.382  0.050  0.031
6(1)a       5.608  0.000  0.067  0.008  0.531  0.552  0.323  0.361
7(1)a       5.886  0.348  0.538  0.536  0.311  0.324  0.039  0.029
8(1)a       6.178  0.008  0.087  0.253  0.563  0.559  0.247  0.085
10(1)a      6.421  0.000  0.072  0.036  0.561  0.683  0.283  0.197
9(1)a       6.423  0.009  0.085  0.091  0.565  0.589  0.266  0.236
11(1)a      6.612  0.000  0.766  0.017  0.068  0.809  0.001  0.009
13(1)a      6.894  0.004  0.084  0.050  0.586  0.817  0.244  0.047
12(1)a      6.935  0.635  0.032  0.016  0.845  0.874  0.039  0.027
14(1)a      7.118  0.029  0.107  0.396  0.561  0.408  0.190  0.053
15(1)a      7.313  0.001  0.022  0.039  0.892  0.775  0.006  0.106
