state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
2(1)a       3.652  0.496  0.119  0.505  0.557  0.328  0.201  0.044
1(1)a       3.734  0.000  0.844  0.698  0.052  0.182  0.000  0.017
3(1)a       4.525  0.001  0.828  0.695  0.073  0.188  0.000  0.018
4(1)a       4.601  0.011  0.073  0.093  0.678  0.771  0.147  0.034
5(1)a       5.266  0.022  0.218  0.439  0.596  0.414  0.069  0.030
6(1)a       5.720  0.000  0.082  0.022  0.547  0.674  0.290  0.223
7(1)a       5.775  0.299  0.682  0.598  0.183  0.266  0.023  0.024
8(1)a       6.015  0.022  0.092  0.224  0.551  0.581  0.253  0.092
9(1)a       6.379  0.007  0.091  0.120  0.546  0.502  0.277  0.293
10(1)a      6.522  0.000  0.084  0.076  0.566  0.711  0.264  0.127
11(1)a      6.813  0.074  0.106  0.431  0.562  0.374  0.186  0.049
12(1)a      6.868  0.014  0.093  0.090  0.585  0.785  0.234  0.037
14(1)a      6.885  0.000  0.761  0.019  0.071  0.807  0.002  0.008
13(1)a      6.977  0.576  0.025  0.024  0.843  0.869  0.050  0.025
15(1)a      7.354  0.000  0.027  0.088  0.877  0.780  0.016  0.053
