state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  RMSeh
-------------------------------------------------------------------------
2(1)a       3.652  0.496  0.877  1.784  2.109  0.656  2.098 -0.619  3.433
1(1)a       3.734  0.000  0.897  1.150  1.334  0.253  1.298  0.182  2.124
3(1)a       4.525  0.001  0.901  1.165  1.371  0.269  1.336  0.168  2.099
4(1)a       4.601  0.011  0.898  2.008  1.495  0.374  1.560 -0.148  2.569
5(1)a       5.266  0.022  0.883  1.684  2.024  0.506  1.971 -0.294  2.834
6(1)a       5.720  0.000  0.919  2.223  1.919  0.452  1.863 -0.007  2.566
7(1)a       5.775  0.299  0.888  1.307  1.711  0.337  1.551  0.096  2.368
8(1)a       6.015  0.022  0.896  2.016  2.082  0.517  2.029 -0.327  2.669
9(1)a       6.379  0.007  0.915  2.196  2.279  0.506  2.224 -0.014  2.917
10(1)a      6.522  0.000  0.914  2.127  1.845  0.452  1.791 -0.140  2.876
11(1)a      6.813  0.074  0.853  1.823  2.118  0.639  2.099 -0.542  3.640
12(1)a      6.868  0.014  0.912  2.048  1.689  0.418  1.601 -0.214  2.897
14(1)a      6.885  0.000  0.834  1.538  1.128  0.897  1.125  0.898  3.586
13(1)a      6.977  0.576  0.917  2.014  1.147  0.104  1.112 -0.027  2.230
15(1)a      7.354  0.000  0.920  1.975  1.234  0.169  1.188 -0.026  2.431
