state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)a       3.768  0.000  0.845  0.704  0.052  0.178  0.000  0.015
2(1)a       4.415  0.440  0.100  0.449  0.572  0.386  0.211  0.048
3(1)a       4.443  0.001  0.826  0.698  0.075  0.187  0.000  0.016
4(1)a       4.697  0.010  0.065  0.059  0.678  0.806  0.155  0.033
5(1)a       5.595  0.001  0.060  0.006  0.522  0.481  0.338  0.434
6(1)a       5.651  0.002  0.405  0.480  0.436  0.377  0.047  0.031
7(1)a       6.086  0.308  0.486  0.500  0.350  0.355  0.052  0.032
8(1)a       6.365  0.002  0.085  0.253  0.577  0.563  0.237  0.084
9(1)a       6.476  0.001  0.066  0.025  0.557  0.649  0.294  0.243
10(1)a      6.501  0.008  0.081  0.095  0.574  0.621  0.258  0.197
11(1)a      6.627  0.000  0.767  0.016  0.067  0.810  0.001  0.009
12(1)a      6.999  0.002  0.079  0.038  0.588  0.821  0.248  0.055
13(1)a      7.035  0.605  0.056  0.016  0.804  0.865  0.054  0.033
14(1)a      7.064  0.000  0.733  0.015  0.111  0.819  0.000  0.009
15(1)a      7.292  0.001  0.020  0.027  0.892  0.725  0.006  0.166
