state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  RMSeh
-------------------------------------------------------------------------
1(1)a       3.768  0.000  0.897  1.145  1.324  0.246  1.290  0.173  2.092
2(1)a       4.415  0.440  0.883  1.835  2.125  0.628  2.105 -0.580  3.357
3(1)a       4.443  0.001  0.901  1.163  1.367  0.266  1.333  0.160  2.081
4(1)a       4.697  0.010  0.898  2.035  1.444  0.335  1.464 -0.128  2.506
5(1)a       5.595  0.001  0.921  2.384  2.094  0.495  2.078  0.163  2.574
6(1)a       5.651  0.002  0.888  1.546  2.163  0.430  2.000 -0.102  2.663
7(1)a       6.086  0.308  0.888  1.492  2.135  0.410  1.909 -0.038  2.571
8(1)a       6.365  0.002  0.899  1.991  2.063  0.519  2.018 -0.357  2.759
9(1)a       6.476  0.001  0.917  2.243  1.923  0.454  1.884 -0.010  2.735
10(1)a      6.501  0.008  0.913  2.153  1.996  0.446  1.931 -0.083  2.793
11(1)a      6.627  0.000  0.835  1.537  1.120  0.904  1.117  0.909  3.599
12(1)a      6.999  0.002  0.915  2.102  1.629  0.392  1.524 -0.167  2.714
13(1)a      7.035  0.605  0.913  2.008  1.196  0.140  1.160  0.021  2.267
14(1)a      7.064  0.000  0.844  1.562  1.179  0.857  1.167  0.861  3.467
15(1)a      7.292  0.001  0.918  2.068  1.291  0.225  1.242  0.166  2.507
