state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
2(1)a       3.730  0.495  1.000  1.043
1(1)a       3.733  0.000  1.000  1.041
3(1)a       4.512  0.001  1.004  1.057
4(1)a       4.611  0.012  1.700  1.858
5(1)a       5.310  0.019  1.506  1.740
6(1)a       5.709  0.000  1.010  1.080
7(1)a       5.797  0.310  1.174  1.415
8(1)a       6.049  0.019  1.284  1.614
9(1)a       6.389  0.008  1.012  1.083
10(1)a      6.509  0.000  1.033  1.135
12(1)a      6.903  0.052  1.347  1.701
11(1)a      6.928  0.317  2.802  2.896
13(1)a      6.967  0.289  1.849  1.961
15(1)a      7.332  0.001  1.114  1.335
14(1)a      7.352  0.000  1.055  1.173
