state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.579  0.496  1.000  1.042
2(1)a       3.736  0.000  1.005  1.048
3(1)a       4.538  0.001  1.004  1.060
4(1)a       4.590  0.011  1.751  1.890
5(1)a       5.224  0.026  1.622  1.862
6(1)a       5.723  0.000  1.009  1.075
7(1)a       5.757  0.289  1.135  1.343
8(1)a       5.984  0.025  1.270  1.581
9(1)a       6.370  0.006  1.015  1.088
10(1)a      6.529  0.000  1.039  1.153
11(1)a      6.746  0.054  1.184  1.379
12(1)a      6.852  0.004  1.014  1.088
13(1)a      6.984  0.604  1.126  1.352
14(1)a      7.231  0.018  1.012  1.084
15(1)a      7.352  0.000  1.325  1.550
