state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.768  0.000  1.000  1.040
2(1)a       4.415  0.440  1.029  1.123
3(1)a       4.443  0.001  1.013  1.088
4(1)a       4.697  0.010  1.633  1.810
5(1)a       5.595  0.001  1.015  1.095
6(1)a       5.651  0.002  1.337  1.605
7(1)a       6.086  0.308  1.313  1.603
8(1)a       6.365  0.002  1.287  1.631
9(1)a       6.476  0.001  1.034  1.144
10(1)a      6.501  0.008  1.067  1.230
11(1)a      6.627  0.000  1.000  1.048
12(1)a      6.999  0.002  1.012  1.087
13(1)a      7.035  0.605  1.193  1.451
14(1)a      7.064  0.000  1.000  1.050
15(1)a      7.292  0.001  1.019  1.098
