state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.736  0.000  1.000  1.036
2(1)a       3.967  0.492  1.000  1.046
3(1)a       4.472  0.001  1.004  1.056
4(1)a       4.643  0.013  1.633  1.809
5(1)a       5.438  0.008  1.394  1.662
6(1)a       5.633  0.000  1.012  1.086
7(1)a       5.870  0.342  1.253  1.531
8(1)a       6.155  0.010  1.303  1.649
9(1)a       6.418  0.009  1.036  1.138
10(1)a      6.441  0.000  1.034  1.146
11(1)a      6.650  0.000  1.000  1.047
13(1)a      6.892  0.005  1.013  1.093
12(1)a      6.940  0.636  1.132  1.351
14(1)a      7.077  0.027  1.175  1.369
15(1)a      7.325  0.000  1.062  1.185
