state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
2(1)a       3.730  0.495  1.057  1.315
1(1)a       3.733  0.000  1.002  1.111
3(1)a       4.512  0.001  1.003  1.114
4(1)a       4.611  0.012  1.726  1.955
5(1)a       5.310  0.019  1.586  2.011
6(1)a       5.709  0.000  1.024  1.155
7(1)a       5.797  0.310  1.250  1.710
8(1)a       6.049  0.019  1.326  1.808
9(1)a       6.389  0.008  1.055  1.225
10(1)a      6.509  0.000  1.047  1.215
12(1)a      6.903  0.052  1.392  1.832
11(1)a      6.928  0.317  2.886  3.041
13(1)a      6.967  0.289  1.942  2.287
15(1)a      7.332  0.001  1.179  1.525
14(1)a      7.352  0.000  1.090  1.298
