state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.579  0.496  1.055  1.310
2(1)a       3.736  0.000  1.002  1.111
3(1)a       4.538  0.001  1.003  1.114
4(1)a       4.590  0.011  1.773  1.985
5(1)a       5.224  0.026  1.659  2.042
6(1)a       5.723  0.000  1.024  1.156
7(1)a       5.757  0.289  1.211  1.643
8(1)a       5.984  0.025  1.314  1.790
9(1)a       6.370  0.006  1.053  1.220
10(1)a      6.529  0.000  1.045  1.213
11(1)a      6.746  0.054  1.253  1.645
12(1)a      6.852  0.004  1.038  1.205
13(1)a      6.984  0.604  1.223  1.642
14(1)a      7.231  0.018  1.053  1.239
15(1)a      7.352  0.000  1.404  1.724
