state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.738  0.000  1.002  1.111
2(1)a       4.017  0.491  1.063  1.327
3(1)a       4.463  0.001  1.004  1.114
4(1)a       4.649  0.013  1.656  1.909
5(1)a       5.464  0.006  1.465  1.947
6(1)a       5.608  0.000  1.022  1.148
7(1)a       5.886  0.348  1.346  1.856
8(1)a       6.178  0.008  1.346  1.840
10(1)a      6.421  0.000  1.048  1.217
9(1)a       6.423  0.009  1.061  1.246
11(1)a      6.612  0.000  1.004  1.178
13(1)a      6.894  0.004  1.036  1.196
12(1)a      6.935  0.635  1.223  1.632
14(1)a      7.118  0.029  1.253  1.651
15(1)a      7.313  0.001  1.049  1.228
