state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.768  0.000  1.002  1.111
2(1)a       4.415  0.440  1.084  1.376
3(1)a       4.443  0.001  1.004  1.115
4(1)a       4.697  0.010  1.651  1.908
5(1)a       5.595  0.001  1.018  1.139
6(1)a       5.651  0.002  1.420  1.913
7(1)a       6.086  0.308  1.413  1.947
8(1)a       6.365  0.002  1.329  1.816
9(1)a       6.476  0.001  1.049  1.222
10(1)a      6.501  0.008  1.096  1.339
11(1)a      6.627  0.000  1.004  1.179
12(1)a      6.999  0.002  1.028  1.177
13(1)a      7.035  0.605  1.288  1.736
14(1)a      7.064  0.000  1.005  1.176
15(1)a      7.292  0.001  1.041  1.206
