state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.736  0.000  1.002  1.111
2(1)a       3.967  0.492  1.062  1.325
3(1)a       4.472  0.001  1.004  1.114
4(1)a       4.643  0.013  1.667  1.917
5(1)a       5.438  0.008  1.484  1.959
6(1)a       5.633  0.000  1.022  1.150
7(1)a       5.870  0.342  1.328  1.831
8(1)a       6.155  0.010  1.343  1.835
9(1)a       6.418  0.009  1.059  1.241
10(1)a      6.441  0.000  1.048  1.217
11(1)a      6.650  0.000  1.004  1.179
13(1)a      6.892  0.005  1.041  1.209
12(1)a      6.940  0.636  1.226  1.637
14(1)a      7.077  0.027  1.247  1.641
15(1)a      7.325  0.000  1.108  1.364
