state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.520  0.497  1.054  1.308
2(1)a       3.738  0.000  1.002  1.111
3(1)a       4.549  0.001  1.003  1.114
4(1)a       4.581  0.010  1.794  1.998
5(1)a       5.189  0.029  1.691  2.054
7(1)a       5.722  0.000  1.024  1.156
6(1)a       5.742  0.282  1.198  1.620
8(1)a       5.959  0.028  1.309  1.782
9(1)a       6.363  0.006  1.052  1.218
10(1)a      6.531  0.000  1.044  1.211
11(1)a      6.693  0.049  1.238  1.620
12(1)a      6.843  0.002  1.027  1.177
14(1)a      6.979  0.000  1.006  1.187
13(1)a      6.990  0.610  1.209  1.616
15(1)a      7.341  0.000  1.783  2.038
