state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.520  0.497  1.000  1.050
2(1)a       3.738  0.000  1.005  1.067
3(1)a       4.549  0.001  1.004  1.061
4(1)a       4.581  0.010  1.772  1.902
5(1)a       5.189  0.029  1.610  1.817
7(1)a       5.722  0.000  1.021  1.103
6(1)a       5.742  0.282  1.122  1.321
8(1)a       5.959  0.028  1.265  1.573
9(1)a       6.363  0.006  1.016  1.092
10(1)a      6.531  0.000  1.021  1.107
11(1)a      6.693  0.049  1.180  1.377
12(1)a      6.843  0.002  1.000  1.049
14(1)a      6.979  0.000  1.000  1.045
13(1)a      6.990  0.610  1.115  1.317
15(1)a      7.341  0.000  1.723  1.868
